userId,GoalSetting,StrategicPlanning,SelfEvaluation,TaskStrategies,Elaboration,HelpSeeking,SRL,only lecture,Atry to lecture,explore,only asessment,Lcomplete to Atry,lecture to Acomplete,hrs,prior_exp,crs_str,crs_fin,int_topic,int_assess,edu,age,isfemale,emp_student,emp_job,completer,days_act,num_events,num_ses,grade,cluster,Gano
6701a17de27dbc4c8916df48159aab27759cca94,1.75,2.5,2.666666667,2.166666667,2.666666667,2.5,2.375,3,0,0,0,0,0,3,1,0,0,1,1,4,22,0,1,0,FALSO,1,2,1,0,0,0
add19fd867d6163a24214dfcf22b884a32f33fdd,1.75,2.25,2.666666667,2.666666667,3.666666667,1.25,2.375,0,0,0,0,0,0,5,1,2,1,1,1,5,25,0,0,1,FALSO,2,4,2,0,0,0
a118b625d8118ed01fedd1ff5620170b3248b706,2.75,2.25,2.333333333,2.166666667,2.333333333,2.5,2.388888889,0,0,0,0,0,0,4,1,1,1,1,1,3,23,1,1,0,FALSO,1,5,1,0,0,0
3681994b619b6510b1b36eafc349c24d06688a8a,2,2.5,3,2.833333333,3,1,2.388888889,0,0,0,0,5,0,2,0,0,0,1,1,3,28,0,1,0,FALSO,3,1,4,2.999999933,0,0
a22805d93aba2676791ada610349ff9781cf34fc,2.75,2.25,3,2.333333333,3,1,2.388888889,3,0,6,0,0,0,5,1,0,0,1,1,3,19,0,1,0,FALSO,2,2,2,5.999999866,0,0
7305de5b5258885f3436905e881ffd6f0cfe5dec,2,2.75,3,2.333333333,2,2.25,2.388888889,6,0,5,0,0,0,6,0,2,2,1,1,5,45,0,0,1,FALSO,5,71,6,25,0,0
c4a1e0288adfddefa29067d2c06bcaf4540c5ee2,2,2.75,2.333333333,2.5,2.333333333,2.5,2.402777778,0,0,6,0,0,0,2,1,0,0,1,1,3,23,0,0,0,FALSO,1,16,1,5.999999866,0,0
29177ba0f6c24b3002b5a57fe6f8091483cd6a3b,2,2.5,1.666666667,2.5,4,1.75,2.402777778,0,0,0,0,0,0,4,1,4,2,0,1,4,40,0,0,1,FALSO,1,9,1,0,0,0
528311b4f394ca83256e67401430e2e954af9948,2.75,2.5,2,2.5,2.666666667,2,2.402777778,0,0,0,0,0,0,6,0,0,0,1,1,1,16,0,1,0,FALSO,2,14,1,0,0,0
d5d87636f78b4013e99a08af87c3fc8032460800,2.25,2.5,3,2.166666667,2,2.5,2.402777778,0,0,0,0,0,0,6,0,0,0,1,1,3,32,0,1,0,FALSO,1,11,5,2.999999933,0,0
a58909bafa60009555631d7448bd592299c0366f,3.25,2.5,2.666666667,2.833333333,1.666666667,1.5,2.402777778,0,0,4,0,0,0,3,0,0,0,1,1,4,27,1,0,0,FALSO,3,10,6,5.999999866,0,0
0f3a8b0c1d27b1d575394035421a00b2568ddafd,2,2.25,2.666666667,2.666666667,2.333333333,2.5,2.402777778,0,0,5,3,0,0,3,0,4,4,1,1,6,40,0,0,1,FALSO,6,10,7,13.71428519,0,0
5de7a4d6f13680b768d3361d36dc8097adf155a9,2.25,2.25,2.333333333,3.333333333,3.333333333,1,2.416666667,0,0,0,0,0,0,2,1,2,1,1,0,4,32,0,0,1,FALSO,1,6,1,0,0,0
23c49dfe9a7001268560b3c2201b31c64fe22b93,2.5,1.5,3,2.333333333,2.666666667,2.5,2.416666667,0,0,0,0,0,0,4,1,0,0,0,1,5,23,0,0,0,FALSO,1,5,1,0,0,0
b8e5110039275a6635b20e0b5c8e07b9640ec7e1,2.25,1.75,3,2.333333333,2.666666667,2.5,2.416666667,4,0,0,0,0,0,2,0,2,2,1,1,5,27,1,0,1,FALSO,6,10,7,0,0,0
d43e8a82293c0c2c805235c19e693f25565ed260,1.25,2.75,2.666666667,2.333333333,3,2.5,2.416666667,5,0,0,0,0,0,3,0,4,3,1,1,4,37,0,0,1,FALSO,1,10,1,0,0,0
4fcf737f63cb9367ad30d16d680fce1c3a5ab712,3,3,2.333333333,2.166666667,3,1,2.416666667,0,0,0,0,0,0,6,1,7,7,1,1,5,49,0,0,1,FALSO,2,15,2,3.857142851,0,0
